,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Spain,Geography_France,Geography_Germany,Gender_Male,Gender_Female
101,2,1,4,2,1,1,0,2,0,-1,-1,1,1,-1
102,1,1,2,1,1,1,1,2,0,1,-1,-1,1,-1
103,2,3,5,0,2,1,1,1,0,-1,1,-1,1,-1
104,2,1,2,2,2,1,0,2,0,-1,1,-1,-1,1
105,3,0,5,2,1,0,0,1,0,-1,-1,1,1,-1
106,1,1,5,0,1,1,0,2,1,-1,1,-1,-1,1
107,4,1,5,0,2,1,1,2,0,1,-1,-1,-1,1
108,2,1,6,0,2,0,0,1,0,-1,1,-1,1,-1
109,466,1,2,0,1,1,1,2,1,1,-1,-1,1,-1
110,3,1,4,2,2,1,0,2,0,-1,-1,1,-1,1
111,4,3,7,1,2,0,1,2,0,-1,1,-1,-1,1
112,4,1,5,0,2,1,0,2,0,-1,1,-1,1,-1
113,2,1,5,0,2,1,1,2,0,-1,1,-1,1,-1
114,4,3,6,2,2,1,1,2,0,-1,-1,1,1,-1
115,4,0,6,1,1,1,0,2,0,-1,-1,1,1,-1
116,3,0,6,0,1,0,0,1,0,1,-1,-1,1,-1
117,3,3,5,0,2,0,0,2,0,1,-1,-1,1,-1
118,4,1,4,0,2,1,1,1,0,-1,1,-1,-1,1
119,2,1,6,0,2,1,1,2,0,-1,1,-1,1,-1
120,2,1,7,2,2,1,0,2,0,1,-1,-1,1,-1
121,2,1,3,3,1,1,1,2,0,-1,1,-1,1,-1
122,3,3,4,0,2,1,1,2,0,1,-1,-1,1,-1
123,3,1,6,2,2,1,0,1,1,-1,-1,1,-1,1
124,1,1,6,0,1,0,0,2,0,1,-1,-1,-1,1
125,1,0,5,2,1,1,1,2,0,-1,1,-1,1,-1
126,2,2,6,0,4,1,1,1,1,-1,1,-1,1,-1
127,3,1,5,0,1,1,1,1,1,-1,1,-1,-1,1
128,1,0,3,0,2,1,0,1,0,-1,1,-1,1,-1
129,3,1,3,2,2,0,0,2,0,-1,-1,1,-1,1
130,2,1,4,0,1,1,1,2,0,1,-1,-1,1,-1
131,1,1,3,1,1,1,0,2,0,-1,-1,1,1,-1
132,3,1,5,0,2,1,1,1,0,-1,1,-1,-1,1
133,4,1,3,2,1,0,0,2,0,1,-1,-1,-1,1
134,3,1,4,2,1,1,1,1,1,-1,1,-1,-1,1
135,4,0,4,1,1,1,1,1,0,-1,-1,1,1,-1
136,3,1,6,0,2,1,0,1,0,-1,1,-1,-1,1
137,1,0,2,2,1,0,1,1,0,-1,1,-1,-1,1
138,4,0,4,0,3,1,0,2,1,-1,1,-1,-1,1
139,1,0,3,3,1,0,1,2,0,-1,-1,1,-1,1
140,4,1,4,2,3,1,1,1,1,1,-1,-1,-1,1
141,1,1,3,1,1,0,1,2,1,-1,1,-1,-1,1
142,2,1,5,2,1,0,0,1,0,1,-1,-1,1,-1
143,4,1,5,0,2,0,1,1,0,1,-1,-1,1,-1
144,2,1,5,0,1,0,0,2,0,1,-1,-1,1,-1
145,4,1,2,0,2,1,0,2,0,1,-1,-1,1,-1
146,2,1,4,1,1,1,0,2,1,-1,1,-1,-1,1
147,2,1,6,0,2,1,1,1,0,-1,1,-1,-1,1
148,1,0,5,0,2,0,0,2,0,-1,1,-1,-1,1
149,2,1,7,2,2,1,1,1,0,-1,-1,1,1,-1
150,2,2,4,2,2,1,0,1,1,-1,-1,1,-1,1
151,3,2,4,0,2,0,1,2,0,-1,1,-1,1,-1
152,2,1,5,2,2,0,0,1,0,1,-1,-1,1,-1
153,1,0,4,1,2,1,1,1,0,-1,-1,1,1,-1
154,3,1,6,0,2,1,0,2,0,1,-1,-1,1,-1
155,2,1,5,2,2,1,0,2,0,-1,-1,1,-1,1
156,3,0,4,1,2,1,0,1,0,-1,-1,1,-1,1
157,1,1,5,3,1,1,0,1,0,-1,-1,1,-1,1
158,1,1,5,0,1,1,1,1,0,-1,1,-1,-1,1
159,2,0,5,2,1,1,1,2,0,-1,-1,1,1,-1
160,2,1,6,2,2,1,0,2,0,-1,-1,1,1,-1
161,3,1,5,2,1,0,0,1,0,-1,-1,1,1,-1
162,3,3,5,0,2,1,1,1,0,-1,1,-1,-1,1
163,3,1,5,1,1,1,1,1,0,-1,1,-1,1,-1
164,2,1,5,2,1,0,1,2,0,1,-1,-1,1,-1
165,2,1,2,0,2,1,1,1,0,1,-1,-1,1,-1
166,2,1,2,0,3,0,1,2,1,-1,1,-1,-1,1
167,1,0,4,0,1,1,1,2,0,-1,1,-1,-1,1
168,2,1,6,1,1,0,1,1,0,1,-1,-1,1,-1
169,3,1,4,2,1,1,0,1,1,-1,-1,1,1,-1
170,3,0,5,0,1,1,1,1,0,-1,1,-1,1,-1
171,3,1,6,0,2,0,1,2,0,-1,1,-1,-1,1
172,4,1,7,0,2,0,1,1,0,-1,1,-1,-1,1
173,3,0,5,1,1,1,1,2,0,-1,1,-1,1,-1
174,3,1,4,3,2,1,0,1,0,-1,1,-1,1,-1
175,2,0,5,1,1,1,1,1,0,-1,-1,1,1,-1
176,2,2,4,2,1,0,0,1,1,-1,1,-1,1,-1
177,3,1,3,2,3,0,0,1,1,-1,1,-1,1,-1
178,1,0,4,1,1,0,1,2,0,-1,1,-1,1,-1
179,2,0,4,0,2,1,0,1,0,-1,1,-1,-1,1
180,3,2,5,0,2,1,1,1,0,-1,1,-1,1,-1
181,2,1,6,0,2,1,0,2,0,-1,1,-1,1,-1
182,4,0,5,0,2,1,0,2,0,-1,1,-1,-1,1
183,2,0,6,0,2,1,1,2,0,-1,1,-1,-1,1
184,4,0,3,2,2,0,0,1,0,1,-1,-1,-1,1
185,3,0,3,0,1,0,1,2,0,-1,1,-1,1,-1
186,2,1,3,3,1,1,1,1,0,-1,-1,1,1,-1
187,3,0,5,2,2,1,0,2,0,-1,-1,1,1,-1
188,3,0,4,2,2,1,0,1,0,-1,1,-1,1,-1
189,1,1,3,2,1,0,1,1,0,-1,1,-1,-1,1
190,2,1,5,1,3,1,0,2,1,-1,-1,1,-1,1
191,1,1,5,2,1,0,1,1,1,-1,-1,1,1,-1
192,4,1,5,2,1,1,0,2,1,1,-1,-1,1,-1
193,2,1,6,2,1,0,1,1,0,-1,-1,1,-1,1
194,3,1,5,2,1,1,1,1,1,-1,1,-1,-1,1
195,1,0,5,0,2,1,0,1,0,-1,1,-1,1,-1
196,3,1,6,0,1,1,1,2,0,1,-1,-1,-1,1
197,2,1,4,1,1,1,1,1,0,-1,-1,1,1,-1
198,4,0,6,0,1,0,1,2,0,-1,1,-1,1,-1
199,4,1,4,0,2,1,0,2,0,-1,1,-1,1,-1
200,2,1,4,2,2,1,1,1,0,-1,-1,1,-1,1
201,1,0,3,2,1,1,1,2,0,-1,-1,1,1,-1
202,2,1,2,1,1,0,1,1,1,1,-1,-1,-1,1
203,3,1,6,3,1,1,1,1,1,-1,1,-1,1,-1
204,2,0,3,0,2,0,0,2,0,-1,1,-1,1,-1
205,2,1,6,0,2,1,0,1,0,-1,-1,1,1,-1
206,1,1,3,1,1,1,1,1,0,-1,1,-1,1,-1
207,3,2,5,2,1,1,0,2,0,-1,1,-1,1,-1
208,492,1,6,3,2,0,1,2,0,-1,-1,1,1,-1
209,1,1,5,2,1,1,0,2,0,-1,-1,1,-1,1
210,4,0,5,2,1,1,0,1,0,-1,1,-1,1,-1
211,2,0,6,2,2,1,0,2,0,-1,-1,1,1,-1
212,1,0,4,0,2,1,0,2,0,1,-1,-1,1,-1
213,1,0,4,0,2,1,0,1,0,1,-1,-1,1,-1
214,4,1,6,2,1,1,1,1,1,-1,1,-1,-1,1
215,2,1,2,3,1,1,0,2,0,-1,-1,1,1,-1
216,3,1,3,0,2,1,1,2,0,1,-1,-1,1,-1
217,3,0,6,2,1,0,0,1,1,1,-1,-1,1,-1
218,3,0,6,0,2,1,1,2,0,-1,1,-1,-1,1
219,3,1,4,2,2,1,0,1,0,-1,-1,1,-1,1
220,1,1,6,2,1,1,1,1,0,-1,-1,1,-1,1
221,4,0,6,0,2,1,0,2,0,-1,1,-1,1,-1
222,3,1,4,0,2,0,0,2,0,1,-1,-1,1,-1
223,3,1,4,2,2,1,1,1,0,1,-1,-1,-1,1
224,2,0,5,0,2,0,1,1,0,-1,1,-1,-1,1
225,2,0,5,0,2,0,0,2,0,-1,1,-1,1,-1
226,2,1,5,0,2,0,0,2,0,-1,1,-1,1,-1
227,3,0,6,1,1,1,0,1,0,-1,1,-1,1,-1
228,3,0,6,0,2,0,0,2,0,-1,1,-1,-1,1
229,4,1,3,2,2,0,1,1,0,-1,-1,1,1,-1
230,3,1,5,0,2,0,1,2,0,1,-1,-1,1,-1
231,2,1,6,2,2,0,1,2,0,-1,-1,1,-1,1
232,3,0,3,0,2,1,0,1,0,1,-1,-1,1,-1
233,3,1,6,0,2,1,1,2,0,-1,1,-1,1,-1
234,3,1,4,1,1,0,0,1,1,-1,1,-1,-1,1
235,3,1,3,0,2,0,0,2,0,-1,1,-1,1,-1
236,2,0,5,3,2,1,1,1,0,-1,1,-1,-1,1
237,4,0,5,0,2,1,0,2,0,-1,1,-1,1,-1
238,4,0,6,0,2,1,0,1,0,-1,1,-1,1,-1
239,4,1,5,0,2,0,0,2,0,-1,1,-1,1,-1
240,4,1,4,1,2,1,0,1,0,-1,-1,1,1,-1
241,1,0,5,2,2,1,1,1,0,-1,1,-1,-1,1
242,3,1,5,1,2,0,0,1,0,-1,-1,1,1,-1
243,3,0,4,1,2,0,0,2,0,-1,1,-1,-1,1
244,1,0,6,0,1,1,1,2,0,-1,1,-1,-1,1
245,4,1,5,0,2,1,1,2,0,1,-1,-1,-1,1
246,1,1,4,0,1,1,0,2,0,1,-1,-1,1,-1
247,2,1,6,0,2,1,0,2,0,-1,1,-1,-1,1
248,3,0,3,0,2,1,1,1,0,-1,1,-1,-1,1
249,2,2,4,0,1,1,1,2,1,-1,1,-1,1,-1
250,2,0,7,2,2,1,0,1,0,-1,-1,1,-1,1
251,2,1,5,2,2,0,1,1,0,-1,1,-1,-1,1
252,1,1,5,0,1,1,1,2,0,-1,1,-1,-1,1
253,3,2,3,2,1,1,1,1,0,-1,-1,1,1,-1
254,1,1,4,0,2,1,1,2,0,-1,1,-1,1,-1
255,1,1,5,1,1,1,1,1,1,1,-1,-1,-1,1
256,3,1,3,2,1,1,1,2,0,-1,-1,1,1,-1
257,4,0,4,2,2,0,1,1,0,-1,1,-1,1,-1
258,3,0,6,0,2,1,0,2,0,-1,1,-1,-1,1
259,2,3,5,0,2,1,1,2,0,-1,1,-1,1,-1
260,3,1,3,0,2,0,1,2,0,1,-1,-1,1,-1
261,4,1,2,2,2,1,1,1,0,-1,-1,1,1,-1
262,4,1,3,1,2,0,1,1,0,-1,-1,1,-1,1
263,2,1,3,2,1,1,1,2,0,-1,1,-1,-1,1
264,3,2,6,1,1,1,1,2,0,-1,-1,1,1,-1
265,3,3,5,2,1,0,0,2,1,-1,1,-1,1,-1
266,4,1,5,0,2,1,0,1,0,1,-1,-1,1,-1
267,3,0,5,0,1,0,1,1,0,-1,1,-1,1,-1
268,4,1,5,0,2,1,1,2,0,1,-1,-1,1,-1
269,2,1,6,0,1,1,0,1,0,-1,1,-1,1,-1
270,3,1,5,2,1,1,0,1,0,-1,1,-1,1,-1
271,4,1,6,2,1,0,1,1,0,1,-1,-1,1,-1
272,2,0,6,0,2,0,0,1,0,1,-1,-1,1,-1
273,3,1,5,2,2,1,0,1,0,-1,1,-1,1,-1
274,3,1,6,0,1,1,0,2,0,-1,1,-1,-1,1
275,2,1,5,1,1,1,0,1,0,-1,1,-1,1,-1
276,3,2,3,0,1,1,0,1,1,-1,1,-1,-1,1
277,3,1,4,2,2,1,0,2,0,1,-1,-1,-1,1
278,2,0,5,2,4,0,0,2,1,-1,-1,1,-1,1
279,2,2,6,2,1,1,1,1,0,-1,1,-1,-1,1
280,4,1,7,0,2,1,1,2,0,1,-1,-1,-1,1
281,3,1,5,1,1,1,0,2,0,-1,1,-1,-1,1
282,1,0,5,0,2,0,1,1,0,-1,1,-1,-1,1
283,2,1,2,2,2,1,1,1,0,-1,-1,1,-1,1
284,2,0,5,3,1,1,0,1,0,1,-1,-1,1,-1
285,2,0,3,2,1,1,0,2,0,-1,-1,1,1,-1
286,3,1,7,0,1,1,1,2,0,-1,1,-1,1,-1
287,3,1,6,1,2,0,1,2,0,-1,-1,1,-1,1
288,1,1,6,2,1,1,0,1,0,-1,-1,1,-1,1
289,3,2,5,2,1,1,0,1,1,-1,1,-1,1,-1
290,1,0,4,2,1,1,1,2,0,-1,1,-1,-1,1
291,4,1,7,2,4,1,1,2,1,-1,1,-1,-1,1
292,2,2,6,2,2,1,1,2,0,-1,-1,1,1,-1
293,1,1,6,0,1,1,0,1,1,1,-1,-1,-1,1
294,3,0,3,0,2,0,0,1,0,-1,1,-1,1,-1
295,3,1,5,1,2,0,0,2,0,-1,-1,1,1,-1
296,2,1,5,0,2,1,0,1,0,-1,1,-1,1,-1
297,3,1,4,2,2,1,1,2,0,-1,-1,1,-1,1
298,3,1,4,0,2,0,1,2,0,-1,1,-1,1,-1
299,3,1,2,2,1,0,1,2,0,-1,1,-1,1,-1
300,4,0,5,0,2,1,0,1,0,-1,1,-1,1,-1
301,4,0,6,0,2,1,0,2,0,-1,1,-1,-1,1
302,4,2,4,3,1,1,0,1,1,-1,-1,1,-1,1
303,1,0,5,0,2,1,1,1,0,1,-1,-1,-1,1
304,3,1,3,3,1,0,0,2,1,-1,-1,1,1,-1
305,2,1,6,0,2,0,1,1,0,-1,1,-1,-1,1
306,3,0,6,1,1,1,0,1,1,-1,1,-1,1,-1
307,3,1,4,1,1,1,1,2,0,1,-1,-1,-1,1
308,3,0,3,3,2,1,1,2,0,-1,1,-1,1,-1
309,2,2,3,1,2,1,1,1,1,-1,-1,1,-1,1
310,2,1,6,3,1,1,1,1,0,1,-1,-1,1,-1
311,2,1,6,0,2,1,1,1,0,-1,1,-1,1,-1
312,3,1,5,0,2,1,0,2,0,1,-1,-1,-1,1
313,4,1,6,3,2,0,0,2,0,-1,1,-1,1,-1
314,2,0,2,0,2,1,1,1,0,-1,1,-1,1,-1
315,2,0,5,2,1,1,0,1,0,1,-1,-1,-1,1
316,3,0,6,2,2,1,1,2,0,-1,-1,1,-1,1
317,3,1,6,2,1,0,0,2,1,-1,-1,1,-1,1
318,2,3,5,2,1,1,1,2,1,-1,-1,1,-1,1
319,2,1,7,1,1,1,1,2,0,-1,-1,1,1,-1
320,3,2,2,2,1,0,0,2,1,-1,1,-1,-1,1
321,3,1,3,2,2,1,0,1,0,1,-1,-1,1,-1
322,3,1,4,2,1,1,0,2,1,-1,-1,1,-1,1
323,3,1,3,3,1,1,0,1,0,-1,1,-1,1,-1
324,3,1,6,2,1,0,0,2,1,-1,-1,1,-1,1
325,2,1,5,1,3,1,0,2,1,-1,-1,1,1,-1
326,2,1,5,0,1,1,1,1,1,1,-1,-1,-1,1
327,3,1,4,0,2,1,1,1,0,-1,1,-1,1,-1
328,2,1,3,1,2,0,1,2,0,-1,-1,1,-1,1
329,1,1,5,0,1,1,1,1,0,-1,1,-1,1,-1
330,4,1,3,2,1,0,0,2,0,-1,-1,1,-1,1
331,2,2,5,2,1,1,0,2,1,-1,-1,1,1,-1
332,2,1,6,2,2,1,0,1,0,-1,1,-1,1,-1
333,3,1,6,0,2,1,1,1,1,-1,1,-1,-1,1
334,1,0,5,0,2,1,0,2,0,1,-1,-1,-1,1
335,3,1,4,1,1,1,1,1,0,1,-1,-1,1,-1
336,2,1,5,0,1,1,1,1,1,-1,1,-1,1,-1
337,3,1,5,0,1,1,0,2,1,1,-1,-1,1,-1
338,3,1,6,2,2,1,1,2,0,-1,1,-1,1,-1
339,3,0,5,0,2,0,0,1,0,-1,1,-1,-1,1
340,3,0,6,0,2,1,0,2,0,-1,1,-1,1,-1
341,3,3,5,2,1,1,1,2,0,1,-1,-1,1,-1
342,2,1,5,2,2,1,0,1,0,-1,1,-1,1,-1
343,0,1,2,2,1,1,1,2,1,-1,1,-1,-1,1
344,2,1,6,3,2,1,1,1,0,-1,-1,1,1,-1
345,3,1,5,2,1,1,1,2,0,1,-1,-1,1,-1
346,2,1,3,0,1,1,0,2,0,1,-1,-1,1,-1
347,4,0,3,0,2,1,0,2,1,-1,1,-1,1,-1
348,3,0,6,0,2,1,1,2,0,1,-1,-1,1,-1
349,2,2,7,0,2,1,1,2,0,1,-1,-1,1,-1
350,496,1,5,0,2,1,0,2,0,1,-1,-1,1,-1
351,2,1,7,0,2,1,1,1,0,-1,1,-1,-1,1
352,2,1,4,3,2,1,0,2,0,-1,-1,1,-1,1
353,3,2,4,0,3,1,1,1,1,-1,1,-1,1,-1
354,1,2,6,1,2,0,1,1,0,-1,1,-1,1,-1
355,3,2,3,0,1,1,0,2,1,-1,1,-1,1,-1
356,2,0,4,0,2,1,0,1,0,-1,1,-1,1,-1
357,2,0,4,2,2,0,1,1,0,-1,-1,1,1,-1
358,507,0,2,3,1,1,1,2,0,1,-1,-1,1,-1
359,3,1,4,2,1,1,1,2,0,-1,1,-1,-1,1
360,2,0,4,2,1,1,1,1,0,1,-1,-1,-1,1
361,3,1,7,2,3,1,0,2,1,-1,-1,1,1,-1
362,493,1,6,0,2,1,0,2,0,-1,1,-1,1,-1
363,3,3,3,0,2,0,1,1,0,-1,1,-1,-1,1
364,4,3,2,3,1,1,1,2,0,-1,-1,1,-1,1
365,3,1,4,2,1,1,0,2,0,1,-1,-1,1,-1
366,2,0,7,0,2,1,1,2,0,-1,1,-1,-1,1
367,3,0,3,0,2,1,1,1,0,-1,1,-1,-1,1
368,3,0,3,0,2,1,1,1,0,1,-1,-1,1,-1
369,3,2,4,0,2,1,1,1,0,-1,1,-1,-1,1
370,1,1,4,2,1,1,1,2,0,-1,1,-1,1,-1
371,4,0,6,0,2,1,1,1,0,-1,1,-1,1,-1
372,3,1,5,0,1,1,0,1,1,-1,1,-1,-1,1
373,4,81,4,2,1,0,1,2,0,-1,1,-1,1,-1
374,4,0,5,0,2,1,1,2,0,-1,1,-1,1,-1
375,4,2,6,2,1,1,1,1,0,1,-1,-1,-1,1
376,1,3,4,0,2,1,1,2,0,1,-1,-1,-1,1
377,3,1,5,3,2,1,1,2,0,-1,-1,1,-1,1
378,2,1,6,3,1,1,1,2,0,1,-1,-1,-1,1
379,3,1,2,2,1,1,1,1,0,-1,-1,1,-1,1
380,3,1,3,1,2,0,0,2,0,-1,1,-1,1,-1
381,500,1,4,0,2,1,0,1,0,-1,1,-1,-1,1
382,2,1,6,2,2,1,0,1,0,-1,-1,1,-1,1
383,2,2,4,2,1,1,1,1,0,1,-1,-1,1,-1
384,3,1,6,2,2,0,1,1,0,-1,-1,1,1,-1
385,2,1,6,0,2,1,1,2,0,-1,1,-1,1,-1
386,3,1,4,0,2,1,1,1,0,-1,1,-1,-1,1
387,2,0,5,0,2,1,1,2,0,1,-1,-1,1,-1
388,4,0,5,0,2,1,1,1,0,-1,1,-1,1,-1
389,2,1,3,0,2,0,0,2,0,-1,1,-1,-1,1
390,3,1,4,1,2,1,0,2,0,-1,1,-1,-1,1
391,4,2,3,0,1,0,1,2,1,-1,1,-1,-1,1
392,2,1,2,0,2,1,0,1,0,-1,1,-1,1,-1
393,2,0,5,2,1,1,0,1,0,1,-1,-1,-1,1
394,2,0,5,3,1,1,1,1,0,-1,1,-1,1,-1
395,2,0,4,2,2,1,0,1,1,-1,-1,1,-1,1
396,3,1,3,2,1,1,1,2,0,1,-1,-1,1,-1
397,2,1,2,2,2,1,1,2,0,-1,-1,1,-1,1
398,2,1,7,0,2,1,0,1,0,-1,1,-1,-1,1
399,4,1,4,0,1,1,0,2,0,-1,1,-1,-1,1
400,2,1,5,2,1,1,1,2,0,-1,1,-1,1,-1
401,3,1,3,3,2,1,0,2,0,-1,-1,1,-1,1
402,1,2,6,0,2,1,1,2,0,-1,1,-1,-1,1
403,1,0,4,1,1,1,0,1,0,-1,1,-1,1,-1
404,1,2,5,1,1,0,0,2,0,-1,1,-1,1,-1
405,2,1,6,2,3,1,0,2,1,-1,-1,1,1,-1
406,2,1,6,3,1,1,1,2,0,-1,-1,1,-1,1
407,3,1,3,3,2,1,0,1,0,-1,-1,1,-1,1
408,4,1,4,2,1,1,1,1,0,1,-1,-1,1,-1
409,3,0,4,0,1,1,0,1,0,1,-1,-1,-1,1
410,2,1,5,0,2,0,0,2,0,-1,1,-1,-1,1
411,1,0,6,0,1,1,0,1,0,-1,1,-1,1,-1
412,4,1,5,2,2,0,1,1,1,-1,1,-1,-1,1
413,2,1,6,3,1,1,0,1,1,-1,1,-1,1,-1
414,1,1,5,3,2,0,0,2,1,1,-1,-1,-1,1
415,3,0,4,2,1,0,0,1,0,-1,1,-1,1,-1
416,483,1,5,2,1,0,0,1,1,-1,1,-1,1,-1
417,2,1,6,0,1,1,1,2,0,1,-1,-1,1,-1
